Pricing Option,Call Point,PPG - Item,Promo Description Notes,Promo Description,Custom Pricing Approval Status,Weeks,Price Book Weeks,Weekly Volume (cases per store),Total Cases Budgeted,▼▼▼ RETAILER ▼▼▼,Suggested Retail Price,Suggested Retail Price [Price Book],Retailer Revenue,Net Unit Cost (after scans),Retailer Total COGS,Retailer Margin $,Retailer Margin %,▼▼▼ DISTRIBUTOR ▼▼▼,Net Revenue,Case Cost,Distributor Total COGS,Distributor Gross Margin $,Distributor Gross Margin %,▼▼▼ TALKING RAIN ▼▼▼,TR Revenue,Discount (per case),TR Share of Discount,Scan Back $ (per case),Discount (per case) [Price Book],TR Share of Discount [Price Book],Scan Back $ (per case) [Price Book],Overall TR Discount,TR Net Revenue,TR Total COGS,TR Gross Margin $,TR Gross Margin %
Price 1,Ridleys,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Ridleys,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0 cs/store,0 cs,,,$ 5.49,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 3,Ridleys,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0 cs/store,0 cs,,,$ 4.99,$ 0,$ 22.20,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 0,$ 0,$ 0,0%
Price 1,Roche Brothers,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Roche Brothers,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0 cs/store,0 cs,,,$ 5.49,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 3,Roche Brothers,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0 cs/store,0 cs,,,$ 4.99,$ 0,$ 22.20,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 0,$ 0,$ 0,0%
Price 1,Rosauers,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Rosauers,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0.000001 cs/store,0.00046 cs,,,$ 5.49,$ 0.01515,$ 24.00,$ 0,$ 0,27.14%,,$ 0.01118,$ 17.30,$ 0,$ 0.00322,29.17%,,$ 0.007958,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,28.61%
Price 3,Rosauers,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0.082 cs/store,60.35 cs,,,$ 4.99,"$ 1,807",$ 22.20,"$ 1,340",$ 467,25.85%,,"$ 1,406",$ 17.30,"$ 1,044",$ 362.1,27.03%,,"$ 1,044",,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 978,$ 727,$ 250,23.99%
Price 1,Roth,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Roth,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0.00000001 cs/store,0.0000022 cs,,,$ 5.49,$ 0.00007247,$ 24.00,$ 0,$ 0,27.14%,,$ 0.00005346,$ 17.30,$ 0,$ 0.0000154,29.17%,,$ 0.00003806,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,28.61%
Price 3,Roth,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0.025 cs/store,8.8 cs,,,$ 4.99,$ 263.5,$ 22.20,$ 195,$ 68,25.85%,,$ 205.,$ 17.30,$ 152,$ 52.8,27.03%,,$ 152.2,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 143,$ 106,$ 37,23.99%
Price 1,Rouses,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0.01 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Rouses,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0 cs/store,0 cs,,,$ 5.49,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 3,Rouses,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0 cs/store,0 cs,,,$ 4.99,$ 0,$ 22.20,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 0,$ 0,$ 0,0%
Price 1,Rural King Distributing,SI Caff 6/4pk 16oz,,FRONTLINE,,,52 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 22.00,$ 0,$ 0,0%,,,,,,,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 1,Rutter's,SI Caff 6/4pk 16oz,,FRONTLINE,,12 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Rutter's,SI Caff 6/4pk 16oz,,$5.49,,20 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 3,Rutter's,SI Caff 6/4pk 16oz,,$4.99,,20 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 1,San Juan Island Market,SI Caff 6/4pk 16oz,,FRONTLINE,,12 wks,,0.5 cs/store,24 cs,,,$ 5.99,$ 862.6,$ 25.50,$ 612,$ 251,29.05%,,$ 612,$ 17.30,$ 415,$ 196.8,32.16%,,$ 415.2,,,,$ 0,$ 0,$ 0,$ 0,$ 415,$ 289,$ 126,30.35%
Price 2,San Juan Island Market,SI Caff 6/4pk 16oz,,$5.49,,20 wks,,0.42 cs/store,33.6 cs,,,$ 5.49,"$ 1,107",$ 24.00,$ 806,$ 300,27.14%,,$ 816.5,$ 17.30,$ 581,$ 235.2,29.17%,,$ 581.3,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 571,$ 405,$ 166,28.61%
Price 3,San Juan Island Market,SI Caff 6/4pk 16oz,,$4.99,,20 wks,,0.64 cs/store,51.2 cs,,,$ 4.99,"$ 1,533",$ 22.20,"$ 1,137",$ 396,25.85%,,"$ 1,193",$ 17.30,$ 886,$ 307.2,27.03%,,$ 885.8,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 829,$ 617,$ 212,23.99%
Price 1,Schnucks,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Schnucks,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0.01 cs/store,0 cs,,,$ 5.49,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 3,Schnucks,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0.01 cs/store,0 cs,,,$ 4.99,$ 0,$ 22.20,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 0,$ 0,$ 0,0%
Price 1,Sedanos,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Sedanos,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0 cs/store,0 cs,,,$ 5.49,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 3,Sedanos,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0 cs/store,0 cs,,,$ 4.99,$ 0,$ 22.20,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 0,$ 0,$ 0,0%
Price 1,SEG & Fresco,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,SEG & Fresco,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0 cs/store,0 cs,,,$ 5.49,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 3,SEG & Fresco,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0 cs/store,0 cs,,,$ 4.99,$ 0,$ 22.20,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 0,$ 0,$ 0,0%
Price 1,Shop Rite,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0.04 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Shop Rite,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0.03 cs/store,190.8 cs,,,$ 5.49,"$ 6,285",$ 24.00,"$ 4,579","$ 1,706",27.14%,,"$ 4,636",$ 17.30,"$ 3,301","$ 1,336",29.17%,,"$ 3,301",,,,$ 1.50,$ 0.3,$ 0,$ 0.30,"$ 3,244","$ 2,299",$ 944,28.61%
Price 3,Shop Rite,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0.04 cs/store,407. cs,,,$ 4.99,"$ 12,187",$ 22.20,"$ 9,036","$ 3,150",25.85%,,"$ 9,484",$ 17.30,"$ 7,042","$ 2,442",27.03%,,"$ 7,042",,,,$ 3.30,$ 1.1,$ 0,$ 1.10,"$ 6,594","$ 4,905","$ 1,689",23.99%
Price 1,Shortline,SI Caff 6/4pk 16oz,,FRONTLINE,,12 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Shortline,SI Caff 6/4pk 16oz,,$5.49,,20 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 3,Shortline,SI Caff 6/4pk 16oz,,$4.99,,20 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 1,Smart & Final,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Smart & Final,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0 cs/store,0 cs,,,$ 5.49,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 3,Smart & Final,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0 cs/store,0 cs,,,$ 4.99,$ 0,$ 22.20,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 0,$ 0,$ 0,0%
Price 1,Spartan Direct,SI Caff 6/4pk 16oz,,FRONTLINE,,,52 wks,0.001 cs/store,10.92 cs,,,$ 5.99,$ 392.5,$ 23.54,$ 257,$ 135,34.50%,,,,,,,,$ 257.1,,,,$ 0,$ 0,$ 0,$ 0,$ 257,$ 132,$ 125,48.81%
Price 1,Spartan DSD,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Spartan DSD,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0.05 cs/store,55 cs,,,$ 5.49,"$ 1,812",$ 24.00,"$ 1,320",$ 492,27.14%,,"$ 1,337",$ 17.30,$ 952,$ 385,29.17%,,$ 951.5,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 935,$ 663,$ 272,28.61%
Price 3,Spartan DSD,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0.054 cs/store,95.04 cs,,,$ 4.99,"$ 2,845",$ 22.20,"$ 2,110",$ 736,25.85%,,"$ 2,214",$ 17.30,"$ 1,644",$ 570.2,27.03%,,"$ 1,644",,,,$ 3.30,$ 1.1,$ 0,$ 1.10,"$ 1,540","$ 1,145",$ 394,23.99%
Price 1,Speedee Mart LV,SI Caff 6/4pk 16oz,,FRONTLINE,,12 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Speedee Mart LV,SI Caff 6/4pk 16oz,,$5.49,,20 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 3,Speedee Mart LV,SI Caff 6/4pk 16oz,,$4.99,,20 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 1,Stater Bros,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Stater Bros,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0.01 cs/store,33.4 cs,,,$ 5.49,"$ 1,100",$ 24.00,$ 802,$ 299,27.14%,,$ 811.6,$ 17.30,$ 578,$ 233.8,29.17%,,$ 577.8,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 568,$ 402,$ 165,28.61%
Price 3,Stater Bros,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0.0593 cs/store,316.9 cs,,,$ 4.99,"$ 9,488",$ 22.20,"$ 7,035","$ 2,453",25.85%,,"$ 7,384",$ 17.30,"$ 5,482","$ 1,901",27.03%,,"$ 5,482",,,,$ 3.30,$ 1.1,$ 0,$ 1.10,"$ 5,134","$ 3,819","$ 1,315",23.99%
Price 1,Stew Leonard's,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Stew Leonard's,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,2 cs/store,0 cs,,,$ 5.49,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 3,Stew Leonard's,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,5 cs/store,0 cs,,,$ 4.99,$ 0,$ 22.20,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 0,$ 0,$ 0,0%
Price 1,Stinker Stores,SI Caff 6/4pk 16oz,,FRONTLINE,,12 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Stinker Stores,SI Caff 6/4pk 16oz,,$5.49,,20 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 3,Stinker Stores,SI Caff 6/4pk 16oz,,$4.99,,20 wks,,0 cs/store,0 cs,,,$ 0,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 0,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Strack & VanTil,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0.218 cs/store,100.3 cs,,,$ 5.49,"$ 3,303",$ 24.00,"$ 2,407",$ 897,27.14%,,"$ 2,437",$ 17.30,"$ 1,735",$ 702.,29.17%,,"$ 1,735",,,,$ 1.50,$ 0.3,$ 0,$ 0.30,"$ 1,705","$ 1,208",$ 496,28.61%
Price 3,Strack & VanTil,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0.0001 cs/store,0.0736 cs,,,$ 4.99,$ 2.204,$ 22.20,$ 2,$ 1,25.85%,,$ 1.715,$ 17.30,$ 1,$ 0.4416,27.03%,,$ 1.273,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 1,$ 1,$ 0,23.99%
Price 1,Sunset Foods,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Sunset Foods,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0 cs/store,0 cs,,,$ 5.49,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 3,Sunset Foods,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0 cs/store,0 cs,,,$ 4.99,$ 0,$ 22.20,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 0,$ 0,$ 0,0%
Price 1,Sunshine,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Sunshine,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0.01 cs/store,3.6 cs,,,$ 5.49,$ 118.6,$ 24.00,$ 86,$ 32,27.14%,,$ 87.48,$ 17.30,$ 62,$ 25.2,29.17%,,$ 62.28,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 61,$ 43,$ 18,28.61%
Price 3,Sunshine,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0.01 cs/store,5.76 cs,,,$ 4.99,$ 172.5,$ 22.20,$ 128,$ 45,25.85%,,$ 134.2,$ 17.30,$ 100,$ 34.56,27.03%,,$ 99.65,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 93,$ 69,$ 24,23.99%
Price 1,Super 1 Foods,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Super 1 Foods,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0.000001 cs/store,0.00034 cs,,,$ 5.49,$ 0.0112,$ 24.00,$ 0,$ 0,27.14%,,$ 0.008262,$ 17.30,$ 0,$ 0.00238,29.17%,,$ 0.005882,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,28.61%
Price 3,Super 1 Foods,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0.1655 cs/store,90.03 cs,,,$ 4.99,"$ 2,696",$ 22.20,"$ 1,999",$ 697,25.85%,,"$ 2,098",$ 17.30,"$ 1,558",$ 540.2,27.03%,,"$ 1,558",,,,$ 3.30,$ 1.1,$ 0,$ 1.10,"$ 1,459","$ 1,085",$ 374,23.99%
Price 1,Superior Grocers,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Superior Grocers,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0 cs/store,0 cs,,,$ 5.49,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 3,Superior Grocers,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0 cs/store,0 cs,,,$ 4.99,$ 0,$ 22.20,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 0,$ 0,$ 0,0%
Price 1,Target,SI Caff 6/4pk 16oz,,EDLP,,,0 wks,0.018 cs/store,0 cs,,,$ 5.79,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 2,Target,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0.0001 cs/store,3.91 cs,,,$ 5.49,$ 128.8,$ 22.80,$ 89,$ 40,30.78%,,$ 95.01,$ 17.30,$ 68,$ 27.37,29.17%,,$ 67.64,,,,$ 1.50,$ 0.3,$ 1.20,$ 1.50,$ 62,$ 47,$ 15,21.68%
Price 3,Target,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0.0001 cs/store,6.256 cs,,,$ 4.99,$ 187.3,$ 21.00,$ 131,$ 56,29.86%,,$ 152.,$ 17.30,$ 108,$ 43.79,29.17%,,$ 108.2,,,,$ 1.50,$ 0.3,$ 3.00,$ 3.30,$ 88,$ 75,$ 12,11.27%
Price 1,Teals Market,SI Caff 6/4pk 16oz,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Teals Market,SI Caff 6/4pk 16oz,,$5.49,,,20 wks,0.01 cs/store,2.2 cs,,,$ 5.49,$ 72.47,$ 24.00,$ 53,$ 20,27.14%,,$ 53.46,$ 17.30,$ 38,$ 15.4,29.17%,,$ 38.06,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 37,$ 27,$ 11,28.61%
Price 3,Teals Market,SI Caff 6/4pk 16oz,,$4.99,,,32 wks,0.001 cs/store,0.352 cs,,,$ 4.99,$ 10.54,$ 22.20,$ 8,$ 3,25.85%,,$ 8.202,$ 17.30,$ 6,$ 2.112,27.03%,,$ 6.09,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 6,$ 4,$ 1,23.99%
Price 1,Terrible Herbst,SI Caff 6/4pk 16oz,,FRONTLINE,,12 wks,,0 cs/store,0 cs,,,$ 5.99,$ 0,$ 25.50,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Terrible Herbst,SI Caff 6/4pk 16oz,,$5.49,,20 wks,,0 cs/store,0 cs,,,$ 5.49,$ 0,$ 24.00,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 1.50,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 3,Terrible Herbst,SI Caff 6/4pk 16oz,,$4.99,,20 wks,,0 cs/store,0 cs,,,$ 4.99,$ 0,$ 22.20,$ 0,$ 0,0%,,$ 0,$ 17.30,$ 0,$ 0,0%,,$ 0,,,,$ 3.30,$ 1.1,$ 0,$ 1.10,$ 0,$ 0,$ 0,0%
